gene1	gene2	Coexpression Network	Interactome Network
Pbr012637.1	Pbr008468.1	IV	III
Pbr012636.1	Pbr008469.1	IV	V
Pbr012635.1	Pbr008470.1	IV	II
Pbr012634.2	Pbr008471.1	IV	V
Pbr012628.1	Pbr008482.1	IV	III
Pbr012627.1	Pbr008483.1	I	V
Pbr012626.1	Pbr008484.1	IV	II
Pbr002445.1	Pbr019157.2	IV	V
Pbr002447.1	Pbr019155.1	IV	V
Pbr002448.1	Pbr019154.1	III	IV
Pbr002451.1	Pbr019153.1	IV	V
Pbr002453.1	Pbr019149.1	IV	V
Pbr002458.2	Pbr019146.1	IV	V
Pbr002463.1	Pbr019139.1	III	V
Pbr002468.1	Pbr019134.1	IV	III
Pbr002470.1	Pbr019133.1	III	V
Pbr011319.2	Pbr030693.1	III	V
Pbr011318.1	Pbr030694.1	III	V
Pbr011312.1	Pbr030697.1	III	V
Pbr011311.1	Pbr030698.2	III	II
Pbr011310.5	Pbr030700.1	IV	V
Pbr011307.1	Pbr030702.1	IV	V
Pbr011304.1	Pbr030706.2	III	V
Pbr011300.1	Pbr030708.2	III	V
Pbr011297.1	Pbr030714.1	IV	V
Pbr011296.1	Pbr030716.1	IV	V
Pbr021868.1	Pbr041562.1	III	V
Pbr021864.1	Pbr041556.1	III	V
Pbr021859.1	Pbr041552.1	I	V
Pbr021858.1	Pbr041551.1	IV	V
Pbr021856.1	Pbr041549.1	IV	V
Pbr021855.1	Pbr041548.1	IV	V
Pbr021854.1	Pbr041547.2	III	V
Pbr021852.1	Pbr041546.1	IV	V
Pbr012623.1	Pbr016626.1	III	V
Pbr012619.1	Pbr016630.1	IV	V
Pbr012618.1	Pbr016631.2	IV	V
Pbr012616.2	Pbr016632.1	III	V
Pbr012610.1	Pbr016634.1	III	V
Pbr012604.1	Pbr016638.1	III	IV
Pbr012601.1	Pbr016641.1	IV	V
Pbr012600.1	Pbr016642.1	III	V
Pbr032521.1	Pbr019253.1	III	IV
Pbr032522.2	Pbr019254.1	IV	V
Pbr032526.1	Pbr019260.1	III	V
Pbr032528.1	Pbr019262.1	III	V
Pbr032531.1	Pbr019264.1	III	I
Pbr032532.1	Pbr019265.1	IV	III
Pbr032538.1	Pbr019271.1	IV	V
Pbr038324.1	Pbr006486.1	III	V
Pbr038329.1	Pbr006489.1	IV	V
Pbr038333.2	Pbr006495.1	IV	V
Pbr038335.1	Pbr006497.1	IV	V
Pbr038343.1	Pbr006513.1	III	IV
Pbr033441.1	Pbr029047.1	IV	V
Pbr033436.1	Pbr029052.1	III	V
Pbr033428.1	Pbr029056.1	IV	V
Pbr033427.1	Pbr029058.1	IV	V
Pbr033422.2	Pbr029064.1	III	V
Pbr033421.1	Pbr029065.2	III	V
Pbr024528.1	Pbr014366.1	I	IV
Pbr024526.2	Pbr014367.2	III	V
Pbr024521.1	Pbr014371.1	III	I
Pbr034042.1	Pbr032636.1	I	V
Pbr034049.1	Pbr032643.1	IV	III
Pbr034052.1	Pbr032646.1	IV	V
Pbr034053.1	Pbr032647.1	IV	V
Pbr034054.1	Pbr032648.1	III	V
Pbr022463.1	Pbr005379.1	III	V
Pbr022459.1	Pbr005372.2	IV	V
Pbr022454.1	Pbr005362.1	IV	V
Pbr022447.1	Pbr005358.1	IV	V
Pbr022446.1	Pbr005356.1	III	V
Pbr022441.1	Pbr005352.2	III	IV
Pbr033482.1	Pbr001669.1	III	IV
Pbr033479.1	Pbr001676.1	III	V
Pbr033476.1	Pbr001677.1	IV	II
Pbr033474.1	Pbr001680.1	III	V
Pbr033471.1	Pbr001682.1	III	V
Pbr028678.1	Pbr008836.1	III	V
Pbr028674.1	Pbr008841.1	III	V
Pbr028673.1	Pbr008844.1	IV	II
Pbr013886.1	Pbr008856.1	III	V
Pbr022292.1	Pbr008859.1	IV	V
Pbr026812.1	Pbr032641.1	III	V
Pbr026816.1	Pbr032645.1	III	V
Pbr026818.2	Pbr032647.1	III	V
Pbr042818.1	Pbr032648.1	III	V
Pbr036294.1	Pbr005270.1	I	V
Pbr036295.1	Pbr005269.2	III	V
Pbr036298.2	Pbr005267.1	IV	V
Pbr036302.1	Pbr005261.1	II	IV
Pbr030493.1	Pbr024107.1	IV	V
Pbr030492.1	Pbr024102.1	IV	II
Pbr030490.1	Pbr024100.1	IV	V
Pbr030489.1	Pbr024099.1	IV	V
Pbr030485.1	Pbr024096.1	III	V
Pbr036043.1	Pbr030662.1	III	V
Pbr036055.1	Pbr030676.1	IV	V
Pbr024553.1	Pbr016660.2	IV	V
Pbr024549.1	Pbr016671.1	III	IV
Pbr037102.1	Pbr032570.1	III	V
Pbr040982.1	Pbr032574.1	IV	V
Pbr040993.1	Pbr032579.1	IV	V
Pbr030501.1	Pbr005571.1	IV	V
Pbr030500.1	Pbr005572.1	II	V
Pbr030499.1	Pbr005573.1	IV	V
Pbr030497.2	Pbr005575.2	III	IV
Pbr030493.1	Pbr005579.1	IV	V
Pbr021721.1	Pbr017882.1	IV	V
Pbr021719.1	Pbr017883.1	IV	V
Pbr021714.2	Pbr017886.1	IV	V
Pbr004850.1	Pbr024086.1	IV	V
Pbr004851.1	Pbr024083.1	IV	V
Pbr011294.1	Pbr018007.1	IV	V
Pbr011271.1	Pbr018022.1	III	V
Pbr011267.1	Pbr018025.1	IV	V
Pbr011266.1	Pbr018026.1	IV	I
Pbr011257.1	Pbr018034.1	III	V
Pbr011256.1	Pbr018035.2	III	V
Pbr034497.1	Pbr018064.1	IV	V
Pbr034495.1	Pbr018065.1	IV	V
Pbr034494.1	Pbr018067.1	IV	V
Pbr034485.1	Pbr018076.1	III	IV
Pbr034484.1	Pbr018077.1	IV	V
Pbr034480.1	Pbr018082.1	III	IV
Pbr034475.1	Pbr018084.1	III	II
Pbr034474.1	Pbr018086.1	IV	II
Pbr034470.1	Pbr018088.1	II	V
Pbr034468.1	Pbr018089.3	I	IV
Pbr026975.1	Pbr024458.1	IV	V
Pbr026976.1	Pbr024457.1	IV	V
Pbr026978.1	Pbr024456.1	IV	V
Pbr026981.1	Pbr024455.1	IV	V
Pbr026983.1	Pbr024453.1	IV	V
Pbr026984.1	Pbr024451.1	III	V
Pbr026987.1	Pbr024446.1	IV	V
Pbr027001.1	Pbr024445.1	IV	V
Pbr027006.1	Pbr024444.1	IV	II
Pbr027007.1	Pbr024443.1	III	V
Pbr027011.1	Pbr024440.1	III	II
Pbr027014.1	Pbr024436.1	IV	V
Pbr027017.1	Pbr024434.1	III	II
Pbr027027.1	Pbr024427.1	IV	V
Pbr027029.1	Pbr024425.1	IV	V
Pbr027034.1	Pbr024421.1	III	V
Pbr027035.1	Pbr024420.1	I	V
Pbr027037.1	Pbr024419.1	III	V
Pbr027038.1	Pbr024418.1	IV	V
Pbr027040.1	Pbr024416.1	IV	V
Pbr027046.1	Pbr024411.1	IV	V
Pbr038325.1	Pbr006448.1	III	V
Pbr038331.1	Pbr006443.1	IV	V
Pbr038336.1	Pbr006437.1	III	IV
Pbr038338.1	Pbr006430.1	IV	V
Pbr038343.1	Pbr006421.1	III	IV
Pbr038344.1	Pbr006420.1	III	IV
Pbr038345.1	Pbr006419.1	IV	V
Pbr038346.1	Pbr006418.1	IV	V
Pbr038353.1	Pbr006412.4	III	V
Pbr038361.1	Pbr006400.1	III	V
Pbr038364.1	Pbr006397.1	III	IV
Pbr042897.1	Pbr006395.1	IV	V
Pbr038366.1	Pbr006394.1	IV	V
Pbr038367.1	Pbr006392.1	III	V
Pbr038368.1	Pbr006391.1	III	V
Pbr034739.1	Pbr032635.1	IV	V
Pbr034740.1	Pbr032634.2	III	V
Pbr034741.1	Pbr032633.1	III	V
Pbr034743.1	Pbr032632.1	III	IV
Pbr034744.1	Pbr032625.1	IV	V
Pbr034745.1	Pbr032622.1	IV	III
Pbr034746.1	Pbr032618.1	III	V
Pbr034751.1	Pbr032616.1	IV	V
Pbr034752.1	Pbr032615.1	III	IV
Pbr034761.1	Pbr032608.1	IV	V
Pbr034764.1	Pbr032606.2	III	V
Pbr039644.1	Pbr032599.1	IV	V
Pbr039645.1	Pbr032597.1	IV	V
Pbr039647.1	Pbr032595.1	I	III
Pbr039648.1	Pbr032594.1	IV	V
Pbr039652.1	Pbr032591.3	III	IV
Pbr039657.1	Pbr032586.1	III	V
Pbr008640.1	Pbr001725.1	IV	V
Pbr008639.1	Pbr001724.1	III	V
Pbr008638.1	Pbr001722.1	IV	III
Pbr008636.1	Pbr001717.1	III	V
Pbr008635.1	Pbr001715.1	IV	V
Pbr008634.1	Pbr001713.1	III	IV
Pbr008628.1	Pbr001707.1	III	IV
Pbr008627.1	Pbr001705.1	III	V
Pbr008626.1	Pbr001703.1	IV	V
Pbr008623.1	Pbr001697.1	IV	V
Pbr008621.3	Pbr001695.1	IV	V
Pbr008617.1	Pbr001693.1	IV	V
Pbr008614.1	Pbr001691.1	III	V
Pbr008609.1	Pbr001688.1	IV	V
Pbr008602.1	Pbr001686.1	I	V
Pbr038434.1	Pbr019293.1	I	V
Pbr038436.1	Pbr019289.1	III	V
Pbr038441.1	Pbr019283.1	III	V
Pbr038445.1	Pbr019278.1	III	V
Pbr038451.1	Pbr019274.1	IV	V
Pbr038455.1	Pbr019271.1	IV	V
Pbr033410.1	Pbr027546.1	III	IV
Pbr022288.1	Pbr027542.1	III	V
Pbr022282.1	Pbr027538.1	IV	V
Pbr022280.1	Pbr027536.1	III	V
Pbr022279.1	Pbr027534.1	IV	V
Pbr022276.1	Pbr027517.1	IV	V
Pbr022275.1	Pbr027515.1	IV	V
Pbr012571.1	Pbr024453.1	IV	V
Pbr012574.1	Pbr024447.1	III	V
Pbr012575.1	Pbr024446.1	III	IV
Pbr012579.3	Pbr024445.1	IV	V
Pbr012583.1	Pbr024443.1	IV	V
Pbr025577.1	Pbr023155.1	IV	I
Pbr025579.1	Pbr042780.1	III	V
Pbr025582.1	Pbr023165.1	IV	V
Pbr025587.1	Pbr023167.1	III	IV
Pbr034044.1	Pbr032662.1	IV	V
Pbr034049.1	Pbr032656.1	III	V
Pbr008623.1	Pbr019105.1	IV	III
Pbr008622.1	Pbr019104.3	IV	V
Pbr008618.1	Pbr019103.1	II	V
Pbr008613.1	Pbr019101.1	IV	V
Pbr008609.1	Pbr019099.1	IV	V
Pbr001272.1	Pbr004707.1	II	IV
Pbr001277.1	Pbr004702.1	IV	V
Pbr022256.1	Pbr024072.1	III	V
Pbr022255.2	Pbr024073.1	III	V
Pbr022253.1	Pbr024075.1	IV	V
Pbr004850.1	Pbr024086.1	IV	V
Pbr022276.1	Pbr027524.1	IV	V
Pbr022275.1	Pbr027522.1	III	V
Pbr022274.1	Pbr027521.1	III	V
Pbr022272.3	Pbr027519.1	IV	V
Pbr026812.1	Pbr032658.1	III	V
Pbr026813.1	Pbr032657.1	IV	V
Pbr026814.2	Pbr032656.1	IV	V
Pbr026816.1	Pbr032653.1	IV	V
Pbr012647.1	Pbr008460.1	IV	V
Pbr012639.1	Pbr008456.1	III	V
Pbr012637.1	Pbr008453.1	IV	V
Pbr012636.1	Pbr008452.1	IV	V
Pbr033404.1	Pbr029064.1	III	V
Pbr033403.1	Pbr029063.1	IV	V
Pbr022287.1	Pbr027544.4	IV	V
Pbr022276.1	Pbr027531.1	IV	V
Pbr022272.3	Pbr027526.1	IV	III
Pbr005649.2	Pbr002115.1	IV	V
Pbr005654.1	Pbr002105.1	III	V
Pbr008655.1	Pbr003554.1	III	V
Pbr008654.1	Pbr003553.1	III	V
Pbr026835.1	Pbr004117.1	III	V
Pbr026842.1	Pbr004124.1	II	V
Pbr026844.2	Pbr004126.1	III	IV
Pbr014417.1	Pbr006359.1	II	V
Pbr014422.3	Pbr006365.1	IV	V
Pbr014417.1	Pbr006359.1	II	V
Pbr022464.3	Pbr012845.3	III	V
Pbr022462.1	Pbr012847.1	IV	V
Pbr022461.2	Pbr012848.2	III	V
Pbr022459.1	Pbr012850.1	IV	V
Pbr022455.1	Pbr012854.1	III	V
Pbr022454.1	Pbr012855.1	II	IV
Pbr022451.1	Pbr012858.1	III	V
Pbr022450.1	Pbr012859.1	IV	V
Pbr022449.1	Pbr012860.2	III	V
Pbr022445.1	Pbr012863.1	I	V
Pbr026798.1	Pbr029370.1	III	IV
Pbr026804.1	Pbr029373.1	IV	V
Pbr026806.1	Pbr029375.2	IV	V
Pbr026809.1	Pbr029378.1	III	IV
Pbr026783.1	Pbr029386.1	III	V
Pbr026784.1	Pbr029384.2	II	V
Pbr026788.1	Pbr029381.1	IV	V
Pbr026789.1	Pbr029379.1	III	V
Pbr026791.1	Pbr029376.1	III	V
Pbr026793.1	Pbr029375.2	III	V
Pbr026795.1	Pbr029373.1	IV	V
Pbr026797.1	Pbr029371.1	III	V
Pbr026798.1	Pbr029370.1	III	IV
Pbr014484.1	Pbr032253.1	IV	V
Pbr014489.2	Pbr032247.1	IV	V
Pbr014490.1	Pbr032246.1	IV	V
Pbr014495.1	Pbr032240.1	IV	I
Pbr014496.1	Pbr032239.1	IV	V
Pbr012507.1	Pbr032252.1	III	V
Pbr012509.1	Pbr032251.1	III	V
Pbr012512.1	Pbr032250.1	IV	V
Pbr012513.2	Pbr032247.1	IV	V
Pbr012515.1	Pbr032246.1	III	IV
Pbr012520.1	Pbr032240.1	II	V
Pbr021877.1	Pbr037171.1	III	V
Pbr021875.1	Pbr037172.1	IV	V
Pbr021869.1	Pbr037178.1	IV	V
Pbr021867.1	Pbr037180.1	IV	V
Pbr021863.2	Pbr037184.1	III	V
Pbr021859.1	Pbr037188.1	III	V
Pbr021858.1	Pbr037189.1	III	V
Pbr021857.1	Pbr037190.1	I	IV
Pbr021856.1	Pbr037191.1	III	V
Pbr021855.1	Pbr037192.1	III	V
Pbr021854.1	Pbr037193.1	III	V
Pbr039652.1	Pbr037980.1	III	IV
Pbr039656.1	Pbr037978.1	I	V
Pbr039657.1	Pbr037977.1	III	V
Pbr039658.1	Pbr037976.3	III	IV
Pbr040331.1	Pbr041164.1	III	V
Pbr040332.2	Pbr041165.1	IV	V
Pbr021863.2	Pbr041225.1	I	V
Pbr042671.1	Pbr042236.1	III	IV
Pbr005675.1	Pbr042235.1	IV	III
Pbr005676.1	Pbr042234.1	III	V
Pbr007327.1	Pbr033847.1	III	V
Pbr007323.1	Pbr033851.1	III	V
Pbr007320.2	Pbr033854.1	IV	V
Pbr007319.1	Pbr033855.1	IV	V
Pbr007318.1	Pbr033856.1	II	III
Pbr007315.1	Pbr033859.1	IV	V
Pbr007314.2	Pbr033860.1	II	V
Pbr007312.1	Pbr033862.1	IV	V
Pbr007311.1	Pbr033863.1	III	V
Pbr007308.1	Pbr033866.1	IV	V
Pbr007307.1	Pbr033867.1	III	V
Pbr035987.1	Pbr011690.1	III	IV
Pbr035988.1	Pbr011689.1	IV	V
Pbr035991.1	Pbr011686.1	III	V
Pbr035992.1	Pbr011685.1	III	V
Pbr035994.1	Pbr011682.2	III	V
Pbr016682.1	Pbr016727.1	III	V
Pbr016692.1	Pbr016717.1	III	V
Pbr016694.1	Pbr016715.1	III	V
Pbr016696.1	Pbr016713.1	III	IV
Pbr016697.1	Pbr016712.1	I	V
Pbr016700.1	Pbr016709.1	II	IV
Pbr007323.1	Pbr033845.1	III	V
Pbr007320.2	Pbr033842.1	IV	V
Pbr007319.1	Pbr033840.1	IV	V
Pbr007318.1	Pbr033839.1	II	V
Pbr007308.1	Pbr033829.1	IV	V
Pbr033832.1	Pbr033863.1	II	V
Pbr033833.1	Pbr033862.1	III	V
Pbr033835.1	Pbr033860.1	I	IV
Pbr033836.1	Pbr033859.1	I	V
Pbr033839.1	Pbr033856.1	I	V
Pbr027768.1	Pbr041538.1	I	V
Pbr027767.1	Pbr041539.1	IV	V
Pbr027762.1	Pbr041543.1	III	IV
Pbr001011.1	Pbr001029.1	IV	V
Pbr001013.1	Pbr001028.1	III	V
Pbr001014.1	Pbr001027.1	III	IV
Pbr001017.1	Pbr001024.1	I	V
Pbr004940.1	Pbr000613.1	IV	V
Pbr004947.1	Pbr000622.1	III	V
Pbr012808.1	Pbr033043.1	III	I
Pbr012818.1	Pbr033048.1	IV	V
Pbr042704.1	Pbr033056.1	III	V
Pbr042706.1	Pbr033060.1	III	V
Pbr012821.1	Pbr033061.1	II	V
Pbr011749.1	Pbr015085.1	IV	V
Pbr015659.1	Pbr041652.1	I	II
Pbr015665.1	Pbr041655.1	III	V
Pbr015675.1	Pbr041663.1	III	V
Pbr015681.1	Pbr041669.1	III	IV
Pbr015683.1	Pbr041671.1	IV	V
Pbr015684.2	Pbr041672.1	IV	V
Pbr015688.1	Pbr041675.1	IV	V
Pbr016710.1	Pbr040743.1	III	V
Pbr016712.1	Pbr040745.1	IV	V
Pbr016713.1	Pbr040746.1	IV	V
Pbr016717.1	Pbr040756.1	III	IV
Pbr016725.1	Pbr040760.1	IV	V
Pbr016727.1	Pbr040763.1	III	IV
Pbr023002.1	Pbr041742.1	IV	III
Pbr022997.1	Pbr041744.1	III	V
Pbr022992.2	Pbr041749.1	III	V
Pbr022990.1	Pbr041753.1	IV	V
Pbr022989.1	Pbr041754.1	III	V
Pbr022986.1	Pbr041757.1	IV	V
Pbr022985.1	Pbr041759.1	IV	V
Pbr004904.1	Pbr023839.4	IV	V
Pbr004909.1	Pbr023837.2	IV	V
Pbr004913.1	Pbr023836.1	IV	V
Pbr004914.1	Pbr023835.1	II	V
Pbr004922.1	Pbr023830.2	II	V
Pbr004926.1	Pbr023822.1	IV	V
Pbr004930.1	Pbr023819.1	IV	V
Pbr004931.1	Pbr023818.1	IV	V
Pbr004940.1	Pbr023807.1	IV	V
Pbr004942.1	Pbr023806.2	III	V
Pbr004944.1	Pbr023804.1	III	V
Pbr004946.1	Pbr023801.1	III	IV
Pbr004947.1	Pbr023800.1	III	IV
Pbr004950.1	Pbr023797.1	IV	V
Pbr004954.1	Pbr023793.1	III	V
Pbr004956.1	Pbr023791.1	I	V
Pbr004957.1	Pbr023790.1	III	V
Pbr004958.1	Pbr023789.1	III	IV
Pbr004959.1	Pbr023788.1	III	V
Pbr004974.1	Pbr023780.2	III	V
Pbr004975.1	Pbr023778.1	III	V
Pbr004976.1	Pbr023777.1	IV	III
Pbr004977.2	Pbr023776.1	IV	V
Pbr004978.1	Pbr023775.1	III	V
Pbr004983.2	Pbr023772.1	III	V
Pbr022973.1	Pbr009726.1	IV	V
Pbr022967.2	Pbr009718.1	IV	V
Pbr022962.1	Pbr009713.1	IV	V
Pbr022959.1	Pbr009712.1	III	II
Pbr022957.1	Pbr009710.1	III	V
Pbr022940.1	Pbr009698.1	IV	V
Pbr022931.1	Pbr009691.1	II	IV
Pbr022928.1	Pbr009689.2	III	V
Pbr022927.1	Pbr009687.1	IV	V
Pbr022925.2	Pbr009679.1	IV	V
Pbr022920.1	Pbr009673.1	III	IV
Pbr022919.1	Pbr009671.1	II	V
Pbr022914.1	Pbr009668.1	IV	V
Pbr022912.1	Pbr009667.1	III	IV
Pbr022901.1	Pbr009660.1	IV	III
Pbr022893.1	Pbr009652.1	III	V
Pbr003443.1	Pbr040776.1	III	IV
Pbr003445.1	Pbr040773.1	IV	V
Pbr016677.1	Pbr042916.1	III	V
Pbr016678.1	Pbr040768.2	IV	III
Pbr016682.1	Pbr040763.1	III	V
Pbr016692.1	Pbr040756.1	III	V
Pbr016696.1	Pbr040745.1	III	V
Pbr016699.1	Pbr040743.1	IV	V
Pbr012774.1	Pbr041697.1	II	V
Pbr012787.1	Pbr041691.1	I	V
Pbr012789.1	Pbr041690.1	IV	V
Pbr012791.1	Pbr041683.1	IV	V
Pbr024778.1	Pbr041720.1	III	V
Pbr024781.1	Pbr041719.1	IV	V
Pbr024785.1	Pbr041715.1	IV	V
Pbr017152.1	Pbr018900.1	III	IV
Pbr017155.1	Pbr018896.1	III	V
Pbr017156.1	Pbr018895.1	IV	V
Pbr041518.2	Pbr024981.1	IV	V
Pbr041505.1	Pbr025003.1	III	IV
Pbr032039.1	Pbr006112.1	IV	V
Pbr032046.1	Pbr006129.1	IV	V
Pbr032061.1	Pbr006142.1	III	V
Pbr032066.1	Pbr006146.1	IV	V
Pbr032071.1	Pbr006157.1	III	IV
Pbr014090.1	Pbr026648.1	I	V
Pbr025053.1	Pbr006223.1	III	V
Pbr022833.1	Pbr006206.1	IV	V
Pbr022858.1	Pbr006191.1	I	IV
Pbr022859.1	Pbr006190.1	III	V
Pbr022869.1	Pbr006182.1	III	IV
Pbr035190.1	Pbr021984.4	IV	V
Pbr025216.1	Pbr022004.1	III	V
Pbr025214.1	Pbr022006.1	III	IV
Pbr025199.1	Pbr022028.1	IV	III
Pbr025193.1	Pbr022031.1	IV	V
Pbr025192.1	Pbr022035.1	III	IV
Pbr041529.1	Pbr015225.1	III	II
Pbr041511.1	Pbr015244.1	IV	V
Pbr041510.2	Pbr015246.1	III	V
Pbr041506.1	Pbr015249.1	IV	V
Pbr042921.1	Pbr015254.1	III	IV
Pbr041497.1	Pbr015257.1	IV	V
Pbr041479.1	Pbr015275.1	III	IV
Pbr014087.6	Pbr019169.1	III	I
Pbr014105.1	Pbr019187.1	IV	V
Pbr014109.1	Pbr019191.1	III	V
Pbr027577.1	Pbr027536.1	III	V
Pbr035996.1	Pbr003394.1	III	IV
Pbr036000.1	Pbr003398.1	III	IV
Pbr036005.1	Pbr003402.1	IV	V
Pbr041451.3	Pbr005053.1	IV	V
Pbr035190.1	Pbr005292.1	IV	V
Pbr035192.1	Pbr005290.2	III	V
Pbr037944.1	Pbr007840.1	I	V
Pbr037942.1	Pbr007838.1	IV	V
Pbr037940.1	Pbr007836.1	IV	V
Pbr037938.1	Pbr007834.1	IV	V
Pbr003099.1	Pbr009576.1	III	V
Pbr003102.1	Pbr009577.1	IV	III
Pbr024742.1	Pbr010442.1	IV	V
Pbr024745.1	Pbr010437.1	III	V
Pbr035191.1	Pbr026855.1	III	V
Pbr035192.1	Pbr026856.1	IV	V
Pbr035193.1	Pbr026858.1	IV	V
Pbr035194.1	Pbr026861.1	IV	III
Pbr035196.1	Pbr026864.1	IV	V
Pbr035200.1	Pbr026865.1	III	IV
Pbr025216.1	Pbr026869.1	III	V
Pbr025214.1	Pbr026870.1	IV	V
Pbr020608.1	Pbr027782.1	IV	V
Pbr020610.1	Pbr027787.1	IV	V
Pbr020613.1	Pbr027789.1	II	III
Pbr020614.1	Pbr027791.1	III	V
Pbr020615.1	Pbr027792.1	III	V
Pbr033824.1	Pbr029149.2	III	IV
Pbr033825.1	Pbr029150.1	IV	III
Pbr033826.1	Pbr029151.1	IV	V
Pbr033827.1	Pbr029152.1	IV	V
Pbr033829.1	Pbr029155.1	IV	V
Pbr033836.1	Pbr029168.1	III	V
Pbr033837.1	Pbr029169.1	III	V
Pbr033838.1	Pbr029170.1	III	V
Pbr033857.1	Pbr029170.1	III	V
Pbr033858.1	Pbr029169.1	III	V
Pbr033862.1	Pbr029166.1	III	V
Pbr033863.1	Pbr029165.1	IV	V
Pbr033866.1	Pbr029155.1	IV	V
Pbr033867.1	Pbr029153.1	IV	V
Pbr003061.1	Pbr029138.1	III	V
Pbr003064.1	Pbr029135.1	IV	V
Pbr003071.1	Pbr029130.1	IV	V
Pbr003073.1	Pbr029127.1	III	V
Pbr003076.1	Pbr029124.1	IV	V
Pbr003083.1	Pbr029118.1	III	V
Pbr003091.1	Pbr029116.1	III	IV
Pbr007317.1	Pbr029170.1	III	V
Pbr007316.1	Pbr029169.1	III	V
Pbr007315.1	Pbr029168.1	IV	V
Pbr007307.1	Pbr029153.1	IV	III
Pbr001086.1	Pbr029901.1	III	V
Pbr001095.1	Pbr029891.1	IV	V
Pbr001078.1	Pbr030246.1	III	I
Pbr001083.1	Pbr030244.1	I	V
Pbr001095.1	Pbr030234.1	IV	V
Pbr020613.1	Pbr031066.1	II	V
Pbr041440.2	Pbr031425.1	III	V
Pbr041502.1	Pbr032034.1	IV	I
Pbr041482.1	Pbr032021.1	IV	V
Pbr041480.1	Pbr032016.1	III	V
Pbr041479.1	Pbr032011.1	IV	V
Pbr041476.1	Pbr032008.1	IV	V
Pbr025060.1	Pbr033783.1	IV	V
Pbr022833.1	Pbr033784.1	IV	V
Pbr022835.1	Pbr033785.1	IV	V
Pbr022836.1	Pbr033786.1	IV	V
Pbr022838.1	Pbr033788.1	IV	V
Pbr022840.1	Pbr033791.1	III	IV
Pbr022843.1	Pbr033793.1	III	V
Pbr025060.1	Pbr033783.1	IV	V
Pbr022839.1	Pbr033768.1	IV	V
Pbr022843.1	Pbr033762.1	IV	V
Pbr016696.1	Pbr035676.1	III	V
Pbr033524.1	Pbr035693.1	III	IV
Pbr016712.1	Pbr035676.1	IV	V
Pbr016715.1	Pbr035674.1	III	IV
Pbr025174.1	Pbr035695.1	IV	V
Pbr025173.1	Pbr035696.1	I	IV
Pbr025172.1	Pbr035697.1	IV	V
Pbr025171.1	Pbr035698.1	III	V
Pbr025169.3	Pbr035700.1	III	V
Pbr025168.1	Pbr035701.2	IV	V
Pbr025167.2	Pbr035702.1	III	V
Pbr025166.1	Pbr035703.1	III	V
Pbr025165.2	Pbr035704.1	IV	V
Pbr025164.1	Pbr035705.1	IV	V
Pbr025162.1	Pbr035706.1	III	IV
Pbr025155.1	Pbr035711.1	III	V
Pbr003177.1	Pbr038066.2	IV	V
Pbr033525.1	Pbr039470.1	IV	V
Pbr042862.1	Pbr039465.2	III	V
Pbr018835.1	Pbr040157.1	III	V
Pbr018830.1	Pbr040152.1	III	V
Pbr023350.1	Pbr041834.1	III	V
Pbr023349.1	Pbr041833.1	III	IV
Pbr032060.1	Pbr042614.1	III	IV
Pbr032061.1	Pbr042613.1	II	V
Pbr032063.1	Pbr042611.1	I	IV
Pbr032066.1	Pbr042608.1	III	V
Pbr032067.1	Pbr042607.3	III	V
Pbr032069.1	Pbr042606.1	III	V
Pbr032070.1	Pbr042605.1	III	IV
Pbr032071.1	Pbr042603.1	IV	V
Pbr029035.1	Pbr033904.1	III	V
Pbr029036.1	Pbr033905.1	IV	I
Pbr029039.1	Pbr033909.1	II	V
Pbr029041.1	Pbr033911.1	III	IV
Pbr029042.1	Pbr033912.1	IV	V
Pbr023106.1	Pbr013183.1	I	IV
Pbr023105.1	Pbr013182.1	IV	V
Pbr023096.1	Pbr013173.2	I	V
Pbr039804.1	Pbr002317.3	III	V
Pbr039801.1	Pbr002319.1	III	IV
Pbr039797.1	Pbr002326.2	IV	V
Pbr039796.1	Pbr002327.1	III	V
Pbr018984.1	Pbr008374.1	IV	V
Pbr018985.1	Pbr008373.1	I	V
Pbr018986.1	Pbr008372.1	I	V
Pbr018987.1	Pbr008370.1	IV	V
Pbr018988.1	Pbr008369.1	III	IV
Pbr017807.1	Pbr036583.1	II	V
Pbr017808.1	Pbr036584.1	III	V
Pbr017812.1	Pbr036589.1	III	V
Pbr033664.1	Pbr035455.1	I	V
Pbr033659.2	Pbr035449.1	III	V
Pbr033658.1	Pbr035448.1	III	V
Pbr033657.1	Pbr035447.1	III	V
Pbr032856.1	Pbr003885.1	IV	V
Pbr003922.1	Pbr003902.1	I	V
Pbr004835.1	Pbr003463.1	III	IV
Pbr004838.1	Pbr003466.1	IV	V
Pbr004839.2	Pbr003468.1	III	IV
Pbr032850.1	Pbr003902.1	III	V
Pbr013430.1	Pbr013424.1	I	V
Pbr042387.1	Pbr006608.1	IV	V
Pbr042391.1	Pbr006611.1	I	V
Pbr042189.1	Pbr021630.1	IV	V
Pbr042192.1	Pbr021632.1	IV	V
Pbr042202.1	Pbr021644.1	III	IV
Pbr042275.1	Pbr021651.1	IV	III
Pbr042280.1	Pbr021653.1	III	V
Pbr042315.1	Pbr012358.1	I	IV
Pbr042317.1	Pbr012359.1	IV	III
Pbr042334.1	Pbr012380.1	III	IV
Pbr033969.1	Pbr020980.1	III	V
